LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
DA6508,8465015571570,"FIELD, BUTT, & BACKPACKS ASSORTED","BAG, INDIVIDUAL EQUIPMENT, CARRIER",FJALLRAVEN,,YES,C Room,C,,IN,NO,,
DA6508,8465015571570,"FIELD, BUTT, & BACKPACKS ASSORTED","BAG, INDIVIDUAL EQUIPMENT, CARRIER",FJALLRAVEN,,YES,,C,Noel,IN,NO,,
DA6508,846501D051148,"FIELD, BUTT, & BACKPACKS ASSORTED","BACKPACK, NORTHFACE RECON TNF, BLK, W/WO",,,YES,,C,Theo,OUT,NO,,
DA6508,846501D051148,"FIELD, BUTT, & BACKPACKS ASSORTED","BACKPACK, NORTHFACE RECON TNF, BLK, W/WO",,,YES,C Room,C,,IN,NO,,
DA6508,846501D051276,"FIELD, BUTT, & BACKPACKS ASSORTED","BACKPACK, NORTHFACE RECON, BLUE-GREY",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
DA650Z,846501F011352,"POUCH, RADIO","POUCH, RADIO: PRC-152,, TACTICAL TAILOR",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501C930062,BAGS AND POUCHES,"POUCH: ASSAULTERS FLASHBANG, MULTICAM",,,YES,C Room,C,,IN,NO,,
DA6511,846501F013430,BAGS AND POUCHES,BAGS AND POUCHES: OSPREY VECTOR 28'/75L,,,YES,C Room,C,,IN,NO,,
DA6511,846501F013430,BAGS AND POUCHES,BAGS AND POUCHES: OSPREY VECTOR 28'/75L,,,YES,C Room,C,,IN,NO,,
DA6511,846501F013430,BAGS AND POUCHES,BAGS AND POUCHES: OSPREY VECTOR 28'/75L,,,YES,C Room,C,,IN,NO,,
DA6511,846501F013430,BAGS AND POUCHES,BAGS AND POUCHES: OSPREY VECTOR 28'/75L,,,YES,C Room,C,,IN,NO,,
DA6511,846501F013430,BAGS AND POUCHES,BAGS AND POUCHES: OSPREY VECTOR 28'/75L,,,YES,C Room,C,,IN,NO,,
DA6511,846501Y020034,BAGS AND POUCHES,"BAG, 5.11 TACTICAL RANGE READY NYLON BLK",,,YES,,C,Noel,OUT,NO,,
DA6512,846501Y020034,BAGS AND POUCHES,"BAG, 5.11 TACTICAL RANGE READY NYLON BLK",,,YES,C Room,C,,IN,NO,,
DA6513,846501Y020034,BAGS AND POUCHES,"BAG, 5.11 TACTICAL RANGE READY NYLON BLK",,,YES,C Room,C,,IN,NO,,
DA6514,846501Y020034,BAGS AND POUCHES,"BAG, 5.11 TACTICAL RANGE READY NYLON BLK",,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Theo,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,C Room,C,,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,C Room,C,,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Kam,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Paul,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Justin,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Jered,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Spencer,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Steve,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,C Room,C,,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Noel,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,,C,Bret,OUT,NO,,
DA6538,846501F000037,BAG ESCAPE AND EVASION,BAG ESCAPE AND EVASION: 001 PARACLETE/EA,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA653Q,846501D127931,BAG,ROLLING DEPLOYMENT BAG,,,YES,C Room,C,,IN,NO,,
DA653Q,846501D127931,BAG,ROLLING DEPLOYMENT BAG,,,YES,C Room,C,,IN,NO,,
DA653Q,846501D127931,BAG,ROLLING DEPLOYMENT BAG,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,,C,Theo,OUT,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,,C,Bret,OUT,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,,C,Kam,OUT,NO,,
